id,lat,lng,geoprivacy,observed_on,time_observed_at,place_guess
190973435,-33.588279187,151.3018187719,open,2023-11-14,2023-11-14T11:39:00+11:00,"Ku-ring-gai Chase NSW 2084, Australia"
191707905,-33.9205194444,151.2581333333,open,2023-11-04,2023-11-04T17:52:00+11:00,"Sydney New South Wales, Australien"
191708148,-33.92165,151.2576444444,open,2023-11-04,2023-11-04T17:46:00+11:00,"Sydney New South Wales, Australien"
191746441,-33.7990886323,151.2904828096,open,2023-11-21,2023-11-21T06:53:00+11:00,"Northern Beaches Council, NSW, Australia"
191829843,-33.8994723333,151.2736573341,open,2023-10-27,2023-10-27T13:14:00+11:00,"Tamarama NSW 2026, Australia"
191829844,-33.9004225649,151.2718978045,open,2023-10-27,2023-10-27T13:14:00+11:00,"Tamarama NSW 2026, Australia"
192246187,-33.7339783333,151.3046883333,open,2023-11-04,2023-11-04T11:19:22+11:00,"Fishermans Beach, Collaroy, NSW, AU"
194008208,-33.9971083333,151.1454471667,open,2023-10-18,2023-10-18T12:34:23+11:00,"Stinkpot Bay, Botany Bay, NSW, AU"
195248105,-33.7874116667,151.2887116667,open,2023-12-30,2023-12-30T17:02:54+11:00,"South Pacific Ocean, Manly, NSW, AU"
195248129,-33.7869116667,151.2889116667,open,2023-12-30,2023-12-30T17:10:15+11:00,"Queenscliff Beach, Manly, NSW, AU"
195347119,-33.9002525494,151.2712674726,open,2023-12-31,2023-12-31T17:53:20+11:00,"Pacific St at Gaerloch Ave, Tamarama NSW 2026, Australia"
195427110,-33.7937333611,151.2879692778,open,2018-03-09,2018-03-09T15:05:00+11:00,"Sydney NSW, Australia"
195553424,-33.9149427225,151.271048457,open,2024-01-02,2024-01-02T19:15:30+11:00,"37MC+WQ Shark Point Dive Site, Clovelly NSW 2031, Australia"
195561397,-33.9044465428,151.2686749175,open,2024-01-02,2024-01-02T18:26:41+11:00,"Bronte NSW 2024, Australia"
195633228,-33.948902,151.257341,open,2024-01-03,,Marourbra
195825662,-33.991557,151.238363,open,2024-01-05,2024-01-05T15:00:00+11:00,Little Congwong
196114485,-33.7985485849,151.2896615267,open,2024-01-07,2024-01-07T17:51:38+11:00,"Manly NSW 2095, Australia"
196244883,-34.1161212495,151.1407892033,open,2024-01-07,2024-01-07T10:43:06+11:00,"Royal, Sutherland Shire - East, AU-NS, AU"
196451367,-33.736923,151.306167,open,2024-01-03,,"Fisherman's beach, Collaroy"
196782413,-33.96464,151.2517888,open,2024-01-16,2024-01-16T07:30:40+11:00,"Malabar NSW 2036, Australia"
196782605,-33.964736,151.2517248,open,2024-01-16,2024-01-16T07:32:59+11:00,"Malabar NSW 2036, Australia"
196830850,-33.5398099035,151.3099698722,open,2024-01-15,2024-01-15T19:38:04+11:00,"Coral Cres opp Beryl Bvd, Pearl Beach NSW 2256, Australia"
197557296,-33.8105166667,151.2468416667,open,2024-01-17,2024-01-17T07:35:20+11:00,"Parriwi Rd, Mosman, NSW, AU"
198465412,-33.6810144,151.3128063997,open,2023-04-22,2023-04-22T15:25:00+10:00,"Mona Vale NSW 2103, Australia"
198469211,-33.8067330365,151.2865588814,open,2024-02-05,2024-02-05T17:45:00+11:00,"Manly NSW 2095, Australia"
198707031,-33.8911416667,151.2788611111,open,2024-02-08,2024-02-08T17:03:09+11:00,"Bondi Beach NSW 2026, Australia"
198873944,-33.997045,151.2497716667,open,2024-02-10,2024-02-10T13:15:07+11:00,"Kamay Botany Bay National Park, La Perouse, NSW, AU"
198876065,-33.990406,151.23261618,open,2024-02-10,2024-02-10T17:02:54+11:00,"Malabar NSW 2036, Australia"
200457208,-33.9475833333,151.2577216667,open,2024-02-26,2024-02-26T09:06:21+11:00,"Maroubra Beach, Maroubra, NSW, AU"
200652422,-33.7931499903,151.2876488641,open,2024-02-28,2024-02-28T07:07:45+11:00,"North Steyne opp Carlton St, Manly NSW 2095, Australia"
